Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Braun;260086;MON;1930;1990;1990;1990;3;1;576;1;0;4;0;L76300;1930;1948;1999;x
Zhang Guotao;260091;MON;1924;1924;1924;1990;1;4;0;4;0;1;0;L76302;1924;1956;1999;x
Zhou Enlai;260087;MON;1924;1924;1924;1990;1;2;1;2;0;4;0;314;1924;1970;1999;x
Zhu De;260089;MON;1924;1924;1924;1946;1;4;0;4;0;4;0;L76312;1924;1976;1999;x
He Long;260092;MON;1927;1937;1990;1990;2;2;0;2;0;3;0;315;1927;1969;1999;x
Mao Zedong;260088;MON;1924;1924;1924;1924;0;3;16;3;0;5;0;325;1924;1970;1999;x
Nguyen Ai Quoc;260094;MON;1930;1990;1990;1990;3;3;16;3;0;2;0;327;1930;1961;1999;x
Deng Xiaoping;260095;MON;1938;1940;1942;1990;1;3;16;3;0;3;0;L76340;1938;1970;1999;x
Fang Ziyi;260093;MON;1930;1940;1942;1990;1;2;0;2;0;4;2;L76365;1930;1970;1999;x
Bo Gu;260090;MON;1924;1924;1924;1990;1;2;3;2;0;4;0;6022;1924;1936;1999;x
Zhou Shidi;260096;MON;1924;1990;1990;1990;1;1;0;1;0;4;2;6031;1924;1979;1999;x
Badrak;300001;MON;1930;1930;1938;1990;1;4;9;1;0;3;0;L330000;1930;1941;1999;x
Chimid;300002;MON;1930;1930;1930;1938;0;3;0;1;0;5;0;L330001;1930;1941;1999;x
Choibalsan;300003;MON;1930;1930;1938;1941;1;4;16;2;0;5;0;L330002;1930;1960;1999;x
Duudei;300005;MON;1939;1941;1990;1990;2;3;1;1;0;5;0;L330004;1939;1960;1999;x
Feklenko;300006;MON;1941;1990;1990;1990;3;3;4;0;0;5;0;L330005;1941;1960;1999;x
Irgel;300007;MON;1939;1945;1990;1990;3;4;0;1;0;5;0;L330006;1939;1960;1999;x
Ivanyuk;300008;MON;1941;1990;1990;1990;3;3;2;0;0;5;0;L330007;1941;1947;1999;x
Kryuchenkin;300009;MON;1941;1990;1990;1990;3;3;1;0;0;5;0;L330008;1941;1960;1999;x
Kuliev;300010;MON;1930;1942;1990;1990;3;4;64;1;0;5;0;L330009;1930;1960;1999;x
Luvsan;300012;MON;1930;1930;1930;1990;1;3;0;1;0;5;0;L330011;1930;1938;1999;x
Lyibangryyan;300013;MON;1941;1945;1990;1990;3;4;4;1;0;5;0;L330012;1941;1960;1999;x
Mahbarid;300014;MON;1942;1944;1990;1990;2;3;0;1;0;5;0;L330013;1942;1960;1999;x
Mindro;300015;MON;1940;1990;1990;1990;3;4;128;0;0;5;0;L330014;1940;1960;1999;x
Missan;300016;MON;1941;1990;1990;1990;3;3;32;0;0;5;0;L330015;1941;1960;1999;x
Nikolenko;300017;MON;1941;1990;1990;1990;3;4;8;0;0;5;0;L330016;1941;1944;1999;x
Tsendenbal;300018;MON;1938;1941;1946;1990;2;4;0;2;0;5;0;L330017;1938;1960;1999;x
Luvsan;300019;MON;1930;1930;1990;1990;2;3;0;1;0;5;1;L330018;1930;1938;1999;x
Pyrselov;300020;MON;1930;1930;1990;1990;2;3;0;1;0;5;1;L330019;1938;1960;1999;x
Luvsan;300021;MON;1942;1990;1990;1990;3;3;0;0;0;5;2;L330020;1942;1960;1999;x
Smushkevich;300022;MON;1930;1930;1990;1990;2;6;16384;2;0;5;2;L330021;1930;1938;1999;x
Stepanov;300023;MON;1941;1990;1990;1990;3;3;0;0;0;5;2;L330022;1941;1960;1999;x
Ulanhu;300024;MON;1941;1944;1947;1990;2;3;0;2;0;5;2;L330023;1941;1960;1999;x
Zhalnin;300025;MON;1930;1930;1990;1990;2;4;4096;1;0;5;2;L330024;1938;1960;1999;x
Damdin Suhbaatar;300026;MON;1908;1930;1930;1933;0;5;402653200;4;0;3;0;6315;1908;1970;1999;x
Peljidiyn Genden;300027;MON;1908;1990;1990;1990;3;5;0;1;0;1;0;6316;1908;1932;1999;x
Anandyn Amar;300028;MON;1908;1990;1990;1990;3;5;0;1;0;1;0;6317;1908;1932;1999;x
Balingiyn Tserendorj Beyse;300029;MON;1908;1990;1990;1990;3;5;0;1;0;1;0;6318;1908;1932;1999;x
Gamarnik;30901;MON;1930;1930;1930;1990;1;1;513;1;0;2;0;L9934;1930;1950;1999;x
Kulik;30904;MON;1919;1921;1932;1940;0;0;512;0;0;5;0;L10055;1919;1947;1999;x
Alksnis Y.I.;30905;MON;1926;1929;1931;1990;1;1;0;2;0;3;2;L10453;1926;1949;1999;x
Budennyi;30856;MON;1918;1918;1918;1945;1;3;564;1;0;3;0;1174;1918;1945;1999;x
Frunze;30855;MON;1918;1918;1918;1952;3;2;6;2;0;5;0;1177;1918;1952;1999;x
Gay;30737;MON;1914;1918;1919;1950;2;3;48;3;0;3;0;1178;1914;1950;1999;x
Kirov;30847;MON;1914;1918;1919;1962;3;1;0;1;0;3;0;1181;1914;1963;1999;x
Krylenko;30903;MON;1914;1918;1932;1952;3;2;0;2;0;5;0;1183;1914;1952;1999;x
Ordzhonikidze;30846;MON;1914;1918;1932;1932;3;2;524;2;0;5;0;9563;1914;1950;1999;x
Stalin;30902;MON;1917;1918;1926;1938;0;2;514;2;0;4;0;1188;1914;1953;1999;x
Trotsky;30821;MON;1918;1918;1918;1918;1;4;3;4;0;5;0;9909;1918;1944;1999;x
Antonov-Ovseenko;30843;MON;1917;1917;1939;1948;1;2;516;2;0;5;0;1196;1917;1948;1999;x
Mironov;30820;MON;1919;1919;1919;1920;1;1;0;1;0;5;0;6934;1919;1990;1999;x
Yegorov;30825;MON;1915;1918;1918;1919;1;3;2;3;0;5;0;6936;1914;1945;1999;x
Kreizer;435018;MON;1941;1990;1990;1990;3;3;64;1;0;5;0;L340004;1941;1960;1999;x
Shoma;435019;MON;1930;1941;1990;1990;2;1;16;1;0;4;0;L340009;1930;1960;1999;x
Tovarischtaj;435020;MON;1930;1930;1939;1990;1;1;16;1;0;4;0;L340010;1930;1960;1999;x
Vo Nguyen Giap;790253;MON;1930;1939;1942;1990;1;5;20;5;0;5;0;L542035;1930;1960;1999;x
