U12;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
875001;Head of State;Harry Pollitt;1933;1962;1999;ST;Ruthless Powermonger;High;M1022;X
875002;Head of Government;Rajani Palme Dutt;1933;1964;1999;ST;Political Protege;Very High;M1023;X
875003;Foreign Minister;D.N. Pritt;1933;1964;1999;ST;Apologetic Clerk;Very High;M1057;X
875004;Minister of Armament;Leslie Solley;1933;1964;1999;ST;Planned Economy Proponent;Very High;M1075;X
875005;Minister of Security;Kim Philby;1933;1964;1999;ST;Secret Police Chief;Very High;M1025;X
875006;Head of Military Intelligence;Anthony Blunt;1933;1964;1999;ST;Political Specialist;Very High;M1026;X
875007;Chief of Staff;Tom Wintringham;1933;1964;1999;ST;School of Mass Combat;Very High;M1027;X
875008;Chief of Army;Bill Alexander;1933;1964;1999;ST;Static Defence Doctrine;Very High;M1028;X
875009;Chief of Navy;Fred Copeman;1933;1964;1999;ST;Indirect Approach Doctrine;Very High;M1029;X
875010;Chief of Air Force;John Strachey;1933;1964;1999;ST;Carpet Bombing Doctrine;Very High;M1030;X
875011;Head of State;Rajani Palme Dutt;1955;1964;1999;ST;Powerhungry Demagogue;Very High;M1023;X
875012;Head of State;Arthur Horner;1933;1964;1999;LE;Benevolent Gentleman;High;M1076;X
875013;Head of State;John Gollan;1955;1964;1999;LE;Weary Stiffneck;Very High;U12-John_Gollan;X
875014;Head of State;Emanuel Shinwell;1933;1964;1999;LWR;Popular Figurehead;Very High;M1185;X
875015;Head of State;H.M. Edward VIII;1933;1964;1999;SD;Autocratic Charmer;Low;M1011;X
875016;Head of State;H.M. George VI;1933;1954;1999;SD;Benevolent Gentleman;Low;M1033;X
875017;Head of State;H.M. Elizabeth II;1933;1964;1999;SD;Popular Figurehead;High;M1182;X
875018;Head of Government;Harry Pollitt;1933;1964;1999;ST;Ambitious Union Boss;High;M1022;X
875019;Head of Government;John Gollan;1941;1964;1999;LE;Silent Workhorse;Very High;U12-John_Gollan;X
875020;Head of Government;George Matthews;1949;1964;1999;LE;Happy Amateur;Very High;U12-George_Matthews;X
875021;Head of Government;Bill Alexander;1955;1964;1999;ST;Old General;High;M1028;X
875022;Head of Government;Thomas Evan Nicholas;1936;1964;1999;LWR;Flamboyant Tough Guy;High;U76-Niclas_y_Glas;X
875023;Head of Government;David Lloyd George;1933;1946;1999;LWR;Naive Optimist;Very High;M1160;X
875024;Head of Government;Clement Attlee;1933;1964;1999;LWR;Silent Workhorse;High;3818;X
875025;Head of Government;Hugh Gaitskell;1933;1964;1999;LWR;Naive Optimist;Very High;M1194;X
875026;Head of Government;Harold Wilson;1958;1964;1999;LE;Ambitious Union Boss;Very High;M1195;X
875027;Head of Government;Eric Blair;1936;1950;1999;SD;Naive Optimist;Medium;ENG-Eric_Blair;X
875028;Foreign Minister;Rajani Palme Dutt;1933;1964;1999;ST;Biased Intellectual;Very High;M1023;X
875029;Foreign Minister;Ian Mikardo;1933;1964;1999;LE;Ideological Crusader;Very High;M1059;X
875030;Foreign Minister;Phil Piratin;1933;1964;1999;LE;The Cloak N Dagger Schemer;Very High;M1056;X
875031;Foreign Minister;Dave Springhall;1933;1964;1999;LE;Iron Fisted Brute;Very High;M1058;X
875032;Foreign Minister;Oliver Brown;1936;1964;1999;LWR;Ideological Crusader;Very High;SCO-Oliver_Brown;X
875033;Foreign Minister;Ernest Bevin;1933;1964;1999;LWR;The Cloak N Dagger Schemer;High;3820;X
875034;Foreign Minister;Herbert Morrison;1933;1964;1999;LWR;Biased Intellectual;High;3821;X
875035;Foreign Minister;Archibald Sinclair;1933;1964;1999;LWR;Great Compromiser;High;M1161;X
875036;Foreign Minister;Alfred Robens;1933;1964;1999;LWR;Apologetic Clerk;Very High;M1199;X
875037;Foreign Minister;Aneurin Bevan;1933;1964;1999;LWR;Ideological Crusader;Very High;M1021;X
875038;Foreign Minister;Denis Healey;1933;1964;1999;LWR;Iron Fisted Brute;Very High;M1201;X
875039;Foreign Minister;Harold Wilson;1933;1964;1999;LE;Ideological Crusader;Very High;M1195;X
875040;Foreign Minister;Patrick Gordon Walker;1933;1964;1999;LWR;Apologetic Clerk;Medium;M1203;X
875041;Foreign Minister;A.J.P. Taylor;1944;1964;1999;LWR;Biased Intellectual;Very High;M1073;X
875042;Foreign Minister;J. B. Priestley;1936;1964;1999;SD;The Cloak N Dagger Schemer;High;ENG-J_B_Priestly;X
