USA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
240001;Head of State;Franklin D. Roosevelt;1932;1946;SD;Democrat Idealistic;High;USA - FDR;X
240416;Head of Government;Charles W. La Folette;1932;1946;SD;Silent Workhorse;Very High;USA - Charles La Follette;X
240420;Head of State;Charles W. La Folette;1932;1946;SD;The Progressive Statesman;Very High;USA - Charles La Follette;X
240421;Head of Government;Jim Curley;1932;1946;ML;Corporate Suit;Medium;USA - James Michael Curley;X
240415;Head of State;Hosea Blackford;1927;1946;SD;Die-hard Reformer;;USA - Hosea Blackford;X
240004;Minister of Armament;Henry Morgenthau;1933;1946;SL;Resource Industrialist;;USA - Henry Morgenthau;X
240005;Minister of Security;J. Edgar Hoover;1933;1973;ML;Director of FBI;Very High;USA - J Edgar Hoover;X
240006;Head of Military Intelligence;William F. Friedman;1917;1957;SL;Dismal Enigma;Very High;William F Freidman;X
240007;Chief of Staff;Malin Craig;1935;1964;ML;School of Manoeuvre;High;USA - Malin Craig;X
240008;Chief of Army;Malin Craig;1935;1946;ML;Guns and Butter Doctrine;High;USA - Malin Craig;X
240010;Chief of Air Force;Oscar Westover;1935;1939;SL;Army Aviation Doctrine;High;USA - Oscar Westover;X
240011;Head of State;Henry A. Wallace;1940;1956;SL;Benevolent Gentleman;High;USA - Henry Wallace;X
240012;Head of State;Warren G. Hooper;1944;1946;ML;Die-hard Reformer;High;USA - Warren Hooper;X
240013;Head of State;Harry S. Truman;1944;1953;ML;Benevolent Gentleman;High;USA - Harry Truman;X
240014;Head of State;Alf M. Landon;1936;1988;ML;Deng_Xiaoping;High;USA - Alf Landon;X
240015;Head of State;Wendell Willkie;1940;1945;ML;Die-hard Reformer;High;USA - Wendell Willkie;X
240016;Head of State;Charles McNary;1940;1945;ML;Pig-headed Isolationist;High;USA - Charles McNary;X
240019;Head of State;Gerald K. Smith;1933;1977;FA;Ruthless Powermonger;High;USA - Gerald K Smith;X
240020;Head of State;Earl Browder;1933;1964;LWR;Die-hard Reformer;;USA - Earl Browder;X
240021;Head of State;Norman Thomas;1928;1964;LE;Pig-headed Isolationist;High;USA - Norman Thomas;X
240022;Head of Government;Henry A. Wallace;1940;1956;SL;Silent Workhorse;High;USA - Henry Wallace;X
240023;Head of Government;Joel B. Clark;1940;1964;SC;Flamboyant Tough Guy;High;USA - Joel B Clark;X
240024;Head of Government;Harry S. Truman;1944;1953;ML;Political Protege;High;USA - Harry Truman;X
240025;Head of Government;Alben W. Barkley;1945;1964;SL;Happy Amateur;High;USA - Alben Barkley;X
240026;Head of Government;Frank Knox;1933;1945;ML;Silent Workhorse;High;USA - Frank Knox;X
240027;Head of Government;Charles McNary;1940;1945;ML;Flamboyant Tough Guy;High;USA - Charles McNary;X
240028;Head of Government;John Bricker;1944;1964;SC;Happy Amateur;High;USA - John W Bricker;X
240030;Head of Government;Fiorello La Guardia;1924;1946;SD;Flamboyant Tough Guy;Very High;USA - Fiorello La Guardia;X
240031;Head of Government;Gerald K. Smith;1933;1977;FA;Backroom Backstabber;High;USA - Gerald K Smith;X
240033;Head of Government;William Z. Foster;1923;1962;ST;Backroom Backstabber;High;High;X
240034;Head of Government;James Cannon;1928;1975;LE;Ambitious Union Boss;High;USA - James Cannon;X
240035;Head of Government;Joseph P. Lash;1940;1988;LWR;Happy Amateur;High;USA - Joseph P Lash;X
240036;Foreign Minister;Edward Stettinius;1944;1950;SL;Ideological Crusader;Very High;USA - Edward Stettinius;X
240037;Foreign Minister;Henry L. Stimson;1928;1946;ML;Biased Intellectual;High;USA - Henry L Stimson;X
240038;Foreign Minister;Walker Lyerly;1944;1964;SD;Ideological Crusader;;USA - Walker Lyerly;X
240039;Foreign Minister;James Byrnes;1945;1955;SC;Ideological Crusader;Very High;USA - James Byrnes;X
240041;Foreign Minister;Arthur Vandenberg;1929;1952;ML;Ideological Crusader;High;USA - Arthur Vandenberg;X
240042;Foreign Minister;Alfred E. Smith;1928;1945;SD;Ideological Crusader;Very High;USA - Al Smith;X
240417;Head of State;Alfred E. Smith;1928;1945;SD;Die-hard Reformer;Very High;USA - Al Smith;X
240418;Head of Government;Hiram Johnson;1928;1945;ML;Naive Optimist;High;USA - Hiram Johnson;X
240422;Chief of Army;Abner Dowling;1928;1945;ML;Innovative Offensive General;Very High;High;X
240423;Chief of Army;John Abell;1928;1945;ML;Commando Doctrine Army;Very High;USA - John Abell;X
240419;Head of Government;William Borah;1928;1945;ML;Naive Optimist;High;USA - William Borah;X
240424;Chief of Air Force;Edward Rickenbacker;1930;1972;ML;Air Superiority Doctrine;Very High;USA - Edward Rickenbacker;X
240043;Foreign Minister;Gerald Nye;1940;1972;ML;Great Compromiser;;USA - Gerald Nye;X
240044;Foreign Minister;Ezra Pound;1933;1973;FA;Biased Intellectual;High;USA - Ezra Pound;X
240045;Foreign Minister;Charles Coughlin;1928;1980;FA;Iron Fisted Brute;High;USA - Charles Coughlin;X
240047;Foreign Minister;Floyd B. Olson;1933;1937;SD;Great Compromiser;Medium;USA - Floyd Olson;X
240048;Foreign Minister;Sam Darcy;1937;1964;ST;Iron Fisted Brute;Low;USA - Sam Darcy;X
240049;Foreign Minister;James Paul Warburg;1940;1970;ML;Apologetic Clerk;High;USA - James Paul Warburg;X
240050;Foreign Minister;Robert Minor;1920;1953;ST;Ideological Crusader;;USA - Robert Minor;X
240051;Foreign Minister;Eugene Dennis;1926;1962;LE;The Cloak N Dagger Schemer;High;USA - Eugene Dennis;X
240052;Minister of Armament;George H. Dern;1933;1937;ML;Laissez-Faire Capitalist;High;USA - George Dern;X
240053;Minister of Armament;Harry L. Hopkins;1938;1947;SD;Administrative Genius;High;USA - Harry Hopkins;X
240054;Minister of Armament;Jesse H. Jones;1940;1957;ML;Resource Industrialist;Very High;USA - Jesse Jones;X
240055;Minister of Armament;Leroy Grumman;1940;1967;ML;Air Superiority Proponent;Very High;USA - Leroy Grumman;X
240056;Minister of Armament;Preston T. Tucker;1944;1951;ML;Laissez-Faire Capitalist;;USA - Preston Tucker;X
240057;Minister of Armament;Henry J. Kaiser;1944;1968;SL;Military Entrepreneur;Very High;USA - Henry J Kaiser;X
240058;Minister of Armament;Robert P. Patterson;1945;1953;SD;Administrative Genius;High;USA - Robert P Patterson;X
240061;Minister of Armament;James M. Cox;1939;1958;SD;Genius Organizer;Very High;USA - James M Cox;X
240062;Minister of Armament;Warren G. Hooper;1940;1946;ML;Resource Industrialist;Medium;USA - Warren Hooper;X
240063;Minister of Armament;Harry H. Woodring;1933;1968;SL;Resource Industrialist;High;USA - Harry H Woodring;X
240064;Minister of Armament;John D. Rockefeller Jr.;1944;1961;ML;Steel Magnate;Very High;USA - John D Rockefeller Jr;X
240066;Minister of Armament;Louis Johnson;1945;1951;SD;Infantry Proponent;High;USA - Louis Johnson;X
240068;Minister of Armament;William D. Pelley;1933;1966;NS;Corrupt Kleptocrat;Very High;USA - William D Pelley;X
240069;Minister of Armament;Francis Townsend;1940;1961;SD;Keynesian Economy;Very High;USA - Francis Townsend;X
240070;Minister of Armament;Henry Ford;1928;1948;PA;Resource Industrialist;Very High;USA - Henry Ford;X
240071;Minister of Armament;William F. Lemke;1944;1951;LWR;Mixed Economy;High;USA - William F Lemke;X
240072;Minister of Armament;Wyndham Mortimer;1933;1967;LE;Planned Economy Proponent;Medium;USA - Wyndham Mortimer;X
240073;Minister of Armament;Elizabeth Gurley Flynn;1938;1965;LE;Genius Organizer;High;USA - Elizabeth Gurley Flynn;X
240074;Minister of Armament;Upton Sinclair;1940;1969;SD;Keynesian Economy;Very High;USA - Upton Sinclair;X
240414;Head of State;Upton Sinclair;1920;1969;SD;Die-hard Reformer;High;USA - Upton Sinclair;X
240075;Minister of Armament;Jack Northrop;1938;1975;ML;Strategic Air Proponent;High;USA - Jack Northrop;X
240076;Minister of Armament;Walther Reuther;1946;1971;SL;Balanced Budget Economy;Very High;USA - Walther Reuther;X
240077;Minister of Security;Victor Selden Clark;1940;1946;ML;Compassionate Gentleman;High;USA - Victor Selden Clark;X
240078;Minister of Security;Henry Chalmers;1944;1964;SL;Silent Lawyer;Very High;USA - Henry Chalmers;X
240079;Minister of Security;Francis B. Biddle;1944;1969;SL;Crime Fighter;Very High;USA - Francis B Biddle;X
240080;Minister of Security;Frank Murphy;1933;1950;SD;Silent Lawyer;Very High;USA - Frank Murphy;X
240081;Minister of Security;Robert H. Jackson;1939;1955;ML;Compassionate Gentleman;Very High;USA - Robert H Jackson;X
240082;Minister of Security;Hugh Simons Gibson;1944;1955;ML;Man of the People;Very High;USA - Hugh Simons Gibson;X
240086;Minister of Security;William Aalto;1933;1959;LE;Efficient Sociopath;Medium;USA - William Aalto;X
240087;Minister of Security;Charles Chaplin;1937;1978;SD;Media Magnate;Medium;USA - Charlie Chaplin;X
240088;Minister of Security;Raymond Charles Moley;1939;1976;ML;Silent Lawyer;Medium;USA - Raymond Charles Moley;X
